epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8223,1.17348,3.56159,1.38221,0.67009,0.17892,0.21242,0.17178,0.89053,2.50984,1.19909,0.000183736,0.000183736,0.000183736
2,49.7329,1.14256,2.47853,1.34471,0.74772,0.22515,0.24407,0.17099,0.96262,1.99296,1.23983,0.000361761,0.000361761,0.000361761
3,70.0804,1.10567,2.09216,1.31863,0.6825,0.25613,0.24178,0.18618,0.92395,1.80673,1.22437,0.000532448,0.000532448,0.000532448
4,89.5576,1.08229,1.90067,1.28044,0.74287,0.29742,0.34056,0.25011,0.94721,1.59704,1.21622,0.000522974,0.000522974,0.000522974
5,109.636,1.05261,1.76537,1.27281,0.70905,0.35758,0.36864,0.27324,0.94204,1.50201,1.19902,0.000511965,0.000511965,0.000511965
6,129.639,1.00284,1.63259,1.24211,0.41553,0.42761,0.34166,0.25116,0.91239,1.46145,1.19965,0.000500956,0.000500956,0.000500956
7,149.362,0.98023,1.55901,1.22705,0.55629,0.49609,0.40134,0.32447,0.83972,1.31038,1.14095,0.000489947,0.000489947,0.000489947
8,169.42,0.97054,1.49531,1.22328,0.66635,0.46305,0.44532,0.35594,0.77597,1.20276,1.07517,0.000478938,0.000478938,0.000478938
9,190.366,0.939,1.40964,1.19731,0.49724,0.42112,0.41734,0.33327,0.75869,1.28077,1.09304,0.00046793,0.00046793,0.00046793
10,210.863,0.92053,1.33947,1.1883,0.52655,0.55904,0.4993,0.40345,0.77919,1.17188,1.07961,0.000456921,0.000456921,0.000456921
11,231.297,0.90627,1.26536,1.17085,0.65031,0.46621,0.47455,0.39346,0.75423,1.19311,1.06864,0.000445912,0.000445912,0.000445912
12,252.019,0.88414,1.23777,1.1705,0.68714,0.51422,0.54268,0.45243,0.73245,1.05558,1.04619,0.000434903,0.000434903,0.000434903
13,272.651,0.85961,1.14588,1.15037,0.6604,0.59657,0.57738,0.47312,0.71665,1.02661,1.05656,0.000423894,0.000423894,0.000423894
14,293.275,0.86193,1.13942,1.14699,0.59431,0.55463,0.53999,0.43821,0.71514,1.0133,1.05954,0.000412886,0.000412886,0.000412886
15,313.861,0.84446,1.09468,1.14299,0.69598,0.59146,0.61227,0.4817,0.69751,0.94407,1.03157,0.000401877,0.000401877,0.000401877
16,332.811,0.84999,1.07,1.13417,0.71013,0.68867,0.69769,0.58762,0.71826,0.88389,1.0567,0.000390868,0.000390868,0.000390868
17,351.936,0.81429,1.0151,1.12908,0.72538,0.64165,0.67709,0.57758,0.69869,0.90989,1.03562,0.000379859,0.000379859,0.000379859
18,371.04,0.81949,1.01475,1.12091,0.65912,0.60528,0.65035,0.56731,0.66029,0.92154,1.01189,0.00036885,0.00036885,0.00036885
19,389.885,0.79834,0.9649,1.11423,0.62444,0.68554,0.69582,0.59241,0.64119,0.85603,1.00238,0.000357842,0.000357842,0.000357842
20,409.013,0.79573,0.94934,1.11159,0.71431,0.69072,0.72079,0.6185,0.65783,0.85449,1.01493,0.000346833,0.000346833,0.000346833
21,428.128,0.77791,0.89729,1.10088,0.64303,0.73388,0.74642,0.63757,0.63575,0.84325,1.00225,0.000335824,0.000335824,0.000335824
22,447.012,0.7783,0.89356,1.10173,0.75698,0.70936,0.74987,0.63268,0.62725,0.83957,1.00261,0.000324815,0.000324815,0.000324815
23,466.779,0.7553,0.86072,1.08774,0.74706,0.72728,0.7417,0.63411,0.62369,0.78225,0.99337,0.000313806,0.000313806,0.000313806
24,486.393,0.75896,0.85938,1.09485,0.6951,0.76979,0.77918,0.63805,0.628,0.79426,1.00513,0.000302798,0.000302798,0.000302798
25,505.741,0.75926,0.8397,1.08735,0.76231,0.69904,0.77167,0.66025,0.63353,0.79048,0.99642,0.000291789,0.000291789,0.000291789
26,525.12,0.72591,0.80363,1.07005,0.6735,0.73534,0.76523,0.67165,0.61002,0.79064,0.98031,0.00028078,0.00028078,0.00028078
27,544.536,0.73983,0.80263,1.08192,0.74951,0.68506,0.75103,0.65069,0.60321,0.7611,0.9717,0.000269771,0.000269771,0.000269771
28,563.485,0.72594,0.77818,1.07156,0.69103,0.7891,0.76082,0.6543,0.62043,0.72398,0.98383,0.000258762,0.000258762,0.000258762
29,582.332,0.71553,0.77074,1.06832,0.69473,0.82326,0.77821,0.66109,0.58518,0.70563,0.96309,0.000247754,0.000247754,0.000247754
30,601.144,0.7041,0.74307,1.05566,0.68758,0.75788,0.76772,0.6685,0.58729,0.70343,0.96362,0.000236745,0.000236745,0.000236745
31,620.19,0.7058,0.73814,1.05752,0.763,0.79983,0.80695,0.69693,0.59713,0.7112,0.95889,0.000225736,0.000225736,0.000225736
32,639.34,0.70553,0.72349,1.05908,0.65847,0.75404,0.72201,0.61736,0.59721,0.70327,0.96133,0.000214727,0.000214727,0.000214727
33,658.468,0.6953,0.71682,1.05572,0.68826,0.81175,0.78255,0.67957,0.57856,0.69228,0.95754,0.000203718,0.000203718,0.000203718
34,677.506,0.67928,0.69966,1.04039,0.81312,0.73506,0.77336,0.67643,0.55514,0.68431,0.93953,0.00019271,0.00019271,0.00019271
35,697.557,0.68529,0.69171,1.05089,0.75776,0.7874,0.79194,0.68148,0.55794,0.67094,0.95192,0.000181701,0.000181701,0.000181701
36,717.696,0.67821,0.68654,1.04511,0.74494,0.75472,0.77556,0.67439,0.56131,0.68496,0.94482,0.000170692,0.000170692,0.000170692
37,738.303,0.67013,0.67477,1.04204,0.67126,0.76251,0.76107,0.67203,0.56321,0.67652,0.95762,0.000159683,0.000159683,0.000159683
38,758.876,0.67516,0.67539,1.03975,0.78137,0.70212,0.7863,0.69591,0.54462,0.66816,0.94144,0.000148674,0.000148674,0.000148674
39,779.104,0.65519,0.64795,1.03569,0.76488,0.75657,0.79648,0.70597,0.5322,0.67932,0.9421,0.000137666,0.000137666,0.000137666
40,799.726,0.6544,0.63938,1.02657,0.82514,0.713,0.79573,0.70295,0.53731,0.66743,0.94075,0.000126657,0.000126657,0.000126657
