epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6709,1.17348,3.56159,1.38221,0.67009,0.17892,0.21242,0.17178,0.89053,2.50984,1.19909,0.000183736,0.000183736,0.000183736
2,48.8708,1.14247,2.48645,1.34332,0.73028,0.21524,0.2657,0.19971,0.91614,1.9431,1.21202,0.000354454,0.000354454,0.000354454
3,70.3923,1.1012,2.09554,1.31928,0.65821,0.30963,0.31213,0.23596,0.94144,1.80276,1.21899,0.000510494,0.000510494,0.000510494
4,90.2667,1.06289,1.88486,1.27383,0.51988,0.40336,0.34712,0.27355,0.89119,1.50077,1.17029,0.000489947,0.000489947,0.000489947
5,110.355,1.0409,1.74802,1.26506,0.58522,0.43858,0.40062,0.30925,0.83599,1.44274,1.132,0.00046793,0.00046793,0.00046793
6,130.142,0.97634,1.62806,1.22727,0.64033,0.39358,0.3792,0.29043,0.83624,1.46978,1.13524,0.000445912,0.000445912,0.000445912
7,150.289,0.97704,1.5404,1.22437,0.62751,0.41001,0.45361,0.36591,0.75948,1.25494,1.09784,0.000423894,0.000423894,0.000423894
8,170.628,0.9463,1.46709,1.2104,0.54197,0.45337,0.44893,0.36953,0.76289,1.22541,1.07496,0.000401877,0.000401877,0.000401877
9,190.552,0.9081,1.38638,1.17927,0.47347,0.49738,0.46541,0.38652,0.73465,1.16004,1.06926,0.000379859,0.000379859,0.000379859
10,210.836,0.89301,1.32553,1.17423,0.5056,0.543,0.48597,0.40601,0.70726,1.11347,1.03562,0.000357842,0.000357842,0.000357842
11,229.486,0.85615,1.23663,1.14533,0.57972,0.51021,0.50031,0.42692,0.70964,1.05619,1.03584,0.000335824,0.000335824,0.000335824
12,247.881,0.84598,1.20878,1.14872,0.66069,0.52443,0.57231,0.47811,0.68046,0.9517,1.03049,0.000313806,0.000313806,0.000313806
13,266.539,0.82069,1.12153,1.12999,0.63313,0.59495,0.56737,0.46827,0.70399,0.91762,1.03044,0.000291789,0.000291789,0.000291789
14,285.075,0.82611,1.10126,1.12189,0.77354,0.49378,0.55739,0.47665,0.65277,0.91014,1.02069,0.000269771,0.000269771,0.000269771
15,304.157,0.79728,1.05908,1.11531,0.62609,0.59196,0.58969,0.49491,0.66462,0.89213,1.02157,0.000247754,0.000247754,0.000247754
16,360.604,0.6737,0.93649,1.04326,0.80884,0.51185,0.60109,0.5121,0.62952,0.86869,0.98978,0.000225736,0.000225736,0.000225736
17,379.183,0.63968,0.828,1.00372,0.67186,0.64118,0.65128,0.54227,0.59244,0.79299,0.97388,0.000203718,0.000203718,0.000203718
18,399.339,0.61369,0.78366,1.00701,0.80435,0.58808,0.67942,0.57344,0.60723,0.79004,0.96017,0.000181701,0.000181701,0.000181701
19,419.974,0.61124,0.74452,0.99683,0.6029,0.68243,0.65231,0.55559,0.59006,0.7555,0.96773,0.000159683,0.000159683,0.000159683
20,439.249,0.58955,0.70374,0.98562,0.6398,0.63136,0.65883,0.57149,0.57247,0.77136,0.95331,0.000137666,0.000137666,0.000137666
21,458.659,0.55907,0.6544,0.96166,0.61149,0.72368,0.70241,0.5954,0.57068,0.75731,0.95357,0.000115648,0.000115648,0.000115648
22,477.696,0.55246,0.63155,0.9599,0.71161,0.74088,0.74726,0.66197,0.54244,0.7074,0.93148,9.36304e-05,9.36304e-05,9.36304e-05
23,497.675,0.53799,0.6056,0.95208,0.69648,0.77347,0.75369,0.66274,0.53922,0.69668,0.9265,7.16128e-05,7.16128e-05,7.16128e-05
24,516.619,0.52426,0.58127,0.95089,0.6973,0.78378,0.76038,0.67659,0.52466,0.68876,0.92054,4.95952e-05,4.95952e-05,4.95952e-05
25,535.782,0.5187,0.57506,0.95093,0.67749,0.79973,0.77413,0.68676,0.51673,0.66933,0.92251,2.75776e-05,2.75776e-05,2.75776e-05
